Date,Close
2016-08-10,31.47
2016-08-11,31.69
2016-08-12,31.98
2016-08-15,32.5
2016-08-16,32.04
2016-08-17,31.57
2016-08-18,31.49
2016-08-19,31.45
2016-08-22,31.65
2016-08-23,32.06
2016-08-24,31.77
2016-08-25,31.99
2016-08-26,32.3
2016-08-29,32.33
2016-08-30,32.6
2016-08-31,32.95
2016-09-01,33.37
2016-09-02,33.51
2016-09-06,33.79
2016-09-07,34.06
2016-09-08,33.78
2016-09-09,32.79
2016-09-12,32.99
2016-09-13,32.12
2016-09-14,31.89
2016-09-15,31.97
2016-09-16,31.34
2016-09-19,32.23
2016-09-20,31.76
2016-09-21,32.36
2016-09-22,32.36
2016-09-23,32.18
2016-09-26,31.78
2016-09-27,32.5
2016-09-28,33.16
2016-09-29,32.18
2016-09-30,32.15
2016-10-03,32.55
2016-10-04,32.51
2016-10-05,32.54
2016-10-06,32.84
2016-10-07,32.75
2016-10-10,32.92
2016-10-11,32.34
2016-10-12,32.35
2016-10-13,31.79
2016-10-14,31.82
2016-10-17,31.4
2016-10-18,31.74
2016-10-19,31.99
2016-10-20,32.21
2016-10-21,32.18
2016-10-24,32.66
2016-10-25,32.72
2016-10-26,32.9
2016-10-27,31.94
2016-10-28,31.51
2016-10-31,31.93
2016-11-01,32.04
2016-11-02,31.81
2016-11-03,31.75
2016-11-04,31.24
2016-11-07,32.04
2016-11-08,31.64
2016-11-09,31.82
2016-11-10,30.87
2016-11-11,31.16
2016-11-14,31.15
2016-11-15,31.99
2016-11-16,32.15
2016-11-17,32.61
2016-11-18,32.62
2016-11-21,32.78
2016-11-22,31.96
2016-11-23,31.83
2016-11-25,31.69
2016-11-28,31.16
2016-11-29,30.32
2016-11-30,30.01
2016-12-01,29.06
2016-12-02,28.98
2016-12-05,28.98
2016-12-06,28.96
2016-12-07,29.26
2016-12-08,29.35
2016-12-09,29.24
2016-12-12,29.08
2016-12-13,29.19
2016-12-14,28.91
2016-12-15,28.89
2016-12-16,29.44
2016-12-19,29.29
2016-12-20,29.55
2016-12-21,29.25
2016-12-22,28.91
2016-12-23,28.94
2016-12-27,28.99
2016-12-28,28.79
2016-12-29,28.96
